Категорија,Brand,Име на производ,АКЦИЈА,Цена-ден,Карактеристики,Гар(м),ДДВ,лагер,KatBroj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,keyboard notebook,,"1,995 ден.",0,0,5%,√,16823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,LG,"15,6"" Notebook Panel Led classs A+ 40 pin",,"5,000 ден.",.,6,5%,√,16340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,.,"15,6"" FHD Notebook Panel Siim Led clss A",,"7,000 ден.",15885,3,18%,√,24760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,DOCK STATION LENOVO ThinkPad USB-C 90W Pro Dock with ThinkPad 90W AC adapter,,"10,849 ден.",,,5%,×,25520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IdeaPad 3 15ITL6 Arctic Grey - 6305, 4GB, 128GB NVMe, 15,6"", DOS;
Intel Celeron 6305 (2C / 2T, 1.8GHz, 4MB)/ 4GB Soldered DDR4-3200/ (Up to 2 drives) 128GB SSD M.2 2242 PCIe 3.0x4 NVMe/ 15.6"" FHD (1920x1080) TN 250nits AG + 720p with Priva",,"14,403 ден.","IdeaPad 3 15ITL6 Arctic Grey - Celeron 6305, 4GB, 128GB NVMe, 15,6"", DOS;
Intel Celeron 6305 (2C / 2T, 1.8GHz, 4MB)/ 4GB Soldered DDR4-3200/ (Up to 2 drives) 128GB SSD M.2 2242 PCIe 3.0x4 NVMe/ 15.6"" FHD (1920x1080) TN 250nits AG + 720p with Privacy Shutter/ Integrated Graphics/ 11ax, 2x2 + BT5.0/ Stereo speakers, 1.5W x2, Dolby Audio/ Firmware TPM 2.0/ 38Wh battery/ 1,65kg/ 24m. Warranty/ DOS;",24,5%,√,26366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer A315-23-A7KD, DOS, AMD Athlon 3020e, 1,2 GHz, Core 2, 4 GB, 15,6"" FHD, SSD 256 GB, AMD Radeon ,802.11 a/b/g/n, GbitLAN, Boja Srebrna, 1,9 kg, 2y NX.HVUEX.037",,"14,465 ден.","A315-23-A7KD, DOS, AMD Athlon 3020e, 1,2 GHz, Core 2, 4 GB, 15,6"" FHD, SSD 256 GB, AMD Radeon ,802.11 a/b/g/n, GbitLAN, Boja Srebrna, 1,9 kg, 2y",12,5%,×,26891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"NOT HP 15s-eq3000na,N4500GB;15,6FHD; 256NVMe; W11H ;593J4EA",,"14,754 ден.",,36,5%,×,28511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo IdeaPad 3 15ITL6 Arctic Grey - Celeron 6305, 4GB, 256GB NVMe, 15,6"", DOS;
Intel Celeron 6305 (2C / 2T, 1.8GHz, 4MB)/ 4GB Soldered DDR4-3200/ (Up to 2 drives) 256GB SSD M.2 2242 PCIe NVMe/ 15.6"" FHD (1920x1080) IPS 300nits AG + 720p with Pr",,"15,111 ден.","IdeaPad 3 15ITL6 Arctic Grey - Celeron 6305, 4GB, 256GB NVMe, 15,6"", DOS;
Intel Celeron 6305 (2C / 2T, 1.8GHz, 4MB)/ 4GB Soldered DDR4-3200/ (Up to 2 drives) 256GB SSD M.2 2242 PCIe NVMe/ 15.6"" FHD (1920x1080) IPS 300nits AG + 720p with Privacy Shutter/ Integrated Graphics/ 11ax, 2x2 + BT5.1/ Stereo speakers, 1.5W x2, Dolby Audio/ Firmware TPM 2.0/ 38Wh battery/ 1,65kg/ 24m. Warranty/ DOS",24,5%,√,25725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Lenovo IdeaPad 3 15ITL6 laptop with Intel Celeron 6305 processor, 15.6"", Full HD, 4GB, 256GB SSD, Intel UHD Graphics, No OS, Arctic Gray 82H800WBRM",,"15,338 ден.",,24,5%,√,28404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"NOT HP Laptop 15s-fq3001nia,N4500; 4GB;15,6FHD; 128GB Nvme;W11H;593J5EA",,"15,338 ден.",,12,5%,×,28510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Lenovo,"Notebook Lenovo Ideapad 3 15IML05, Platinum Gray, 15.6HD ANTIGLARE, Intel 5205U, 4GB, 256GB SSD, 2CELL 35WH, 0.3M CAMERA 81WB00M0RM",,"16,470 ден.","IdeaPad 3 15IML05 Platinum Grey - Celeron 5205U, 4GB, 256GB NVMe, 15,6"", DOS;
Intel Celeron 5205U (2C / 2T, 1.9GHz, 2MB)/4GB Soldered DDR4/ (Up to 2 drives) 256GB SSD M.2 2242 PCIe NVMe/ 15.6"" HD (1366x768) TN 220nits AG + 0.3MP with Privacy Shutter/ Integrated Graphics/ 11ac, 2x2 + BT5.0/ Firmware TPM 2.0/ Stereo speakers, 1.5W x2, Dolby Audio/ 35Wh battery/ 1,7kg/ 24m. Warranty/ DOS",24,5%,×,24749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer Aspire (A115-22-A8WH), Silver, 15.6"" FHD (1920 x 1080) resolution, AMD Athlon 3020e, 4 GB, 128GB SSD, 3xUSB, HDMI, Gigabit Ethernet, BT, WEB Camera NX.A7PEX.001",,"16,562 ден.","NOTEBOOK ACER Aspire (A115-22-A8WH), Silver, 15.6"" FHD (1920 x 1080) resolution, AMD Athlon 3020e, 4 GB, 128GB SSD, 3xUSB, HDMI, Gigabit Ethernet, BT, WEB Camera",12,5%,√,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook ACER ASPIRE 3 A315-3415.6/Celeron 	N4020/FHD/4GB/256GB",,"17,048 ден.","Laptop ACER CeleronN402015.6""/FHD/4GB/256GB/4core",12,5%,√,26875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,HP,"Notebook HP 250 G8 2X7W8EA laptop | 15.6""FHD | Intel Celeron N4020 1.1GHz | RAM 8GB | PCie Nvme 256GB SSD | Intel UHD Graphics | FreeDOS 2X7W8EA",,"18,887 ден.",,,5%,×,27159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer NX.HE3EX.03C 15,6""/Intel Pentium N5030/4 GB/128 GB/Windows 10home",,"18,924 ден.","Laptop ACER Pentium N503015.6""/FHD/4GB/128GB/Win10home",12,5%,√,26876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebook,Acer,"Notebook Acer Aspire 3 Laptop, A315-34, 15.6″ Full HD, Intel Pentium N5030, 4GB DDR4, 256GB SSD, Intel UHD",,"19,274 ден.","Laptop ACER Pentium N503015,6""/4GB/256GB/FHD/4core",12,5%,√,26878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
